UUID,Number of Sessions,Average Songs per Session,Skip Rate
05ba8d80-0a89-4a04-8d91-ac95738168a4,301,33.93023255813954,18.349162831685106
0df03e19-37a1-436e-a2fb-1918d76e6f3e,4696,35.893526405451446,32.37381048434941
23bd0e0e-4108-49ab-8661-13d51419e80f,125,25.456,24.54431175361408
29af1338-284a-424f-a651-cdae04bed7d7,4208,46.071768060836504,57.47356475989065
2b840c23-6a2d-49cb-89ea-9e422e5f609d,3351,35.98567591763653,39.48651607125087
36e97c2e-25db-4db4-b447-141258b6a583,915,27.75409836065574,28.867887379405392
393c1b90-a912-4dbf-a40b-267cb1167a70,4499,31.06179150922427,37.2480267912728
3fd900cd-8090-4b5f-821a-80b9cc535cbf,1911,29.679748822605966,39.70520822313904
4e18a798-1f42-4bdd-8a46-f5d9f6c67ac7,1653,39.56805807622504,15.38543864477265
590fddd7-bb05-4b92-a3df-c1da11691ce2,84,26.785714285714285,20.444444444444446
5a86d325-1f11-43d0-8a87-d0e3a23cd519,2882,35.687369882026374,37.03026708539538
5f8060bb-418b-4722-b9ed-8f7ce05289f8,1903,28.89280084077772,31.71343869923431
6377a361-89a3-4a90-a25d-15e4d233a09f,2087,24.416387158600863,18.83745118433189
6d89911e-c8d1-460c-8153-0a5f361ebbfd,1714,38.117269544924156,29.2103531140465
6fabc2ef-9a2b-4e84-837e-c50c4229d77f,640,40.753125,18.875086266390614
7f6a81f2-bea9-4b6b-be3b-1490cff7ee0f,3812,35.023347324239246,20.541686328262514
8107c0ba-cd68-486f-b5a5-e98766519c2e,5223,49.26976833237603,49.116718997730594
85abf159-aec3-44a8-ba26-8d899dff0e65,2665,20.720075046904316,30.8861080425216
9ce598f6-a21e-441a-8a66-646b6fb0cdee,2091,32.455762792922044,47.99233772931555
9da3dec4-9865-4768-9fca-085c28bf6be2,4804,38.516028309741884,49.583583291448456
9e0469f5-314e-4e29-9510-8c5a3689ea98,4856,37.580724876441515,54.346491901014836
a4d65863-8146-43e7-b5aa-4de565b70840,2538,29.357762017336487,32.61441417259428
a6885ba8-b634-4bc6-8e9f-0957055ce37e,3376,39.78939573459716,36.5297143580314
a8d334ae-6620-40e5-9f47-2240edf0b942,3397,33.64292022372682,33.61771011068819
c6903d3a-0605-444c-9221-7d428afd27f1,3102,26.3394584139265,35.61348754666177
c859ade0-cd30-4a87-a81c-ae950f06a9b8,2215,30.441083521444696,27.186438667002832
c935f2e2-2b40-4ac3-8c87-9bec4b33a47a,6056,45.38490752972259,42.70750333817232
cff1d7d2-9d30-4af1-a31e-8f41d5393386,1542,37.811932555123214,47.58172400782081
d0ddea6e-9a27-4ba7-a49a-9fa44d0a50c4,2335,39.279229122055675,10.869304490988585
d8ddb05d-c236-48f7-9ffd-0f635bb4388d,2515,30.792842942345924,27.919528949950934
e80e2292-d119-408b-a550-08a3add38057,10731,45.563134842978286,39.934920173927985
eb3d3dab-b782-4280-ae80-57858479ee10,5220,58.78103448275862,28.007704416351352
